3.349626534133576250e-01,3.253937012387716488e-01,3.156336021828979321e-01,3.352216484610850977e-01,3.214224429717387199e-01
2.876826147248682797e-01,3.078326186072665172e-01,2.930266088509668188e-01,3.075107365248210267e-01,3.114154526623458263e-01
2.630355872609393963e-01,2.755859216422596458e-01,2.563725945416086560e-01,2.536186635482410301e-01,2.602457167245899594e-01
3.106906760427887160e-01,2.908492941591533376e-01,2.844474956446787495e-01,2.821862644397855058e-01,2.819679511933033123e-01
2.342982343686569047e-01,2.095501629304446223e-01,2.141314553990610325e-01,2.175545867799388855e-01,2.117087711453908838e-01
2.635302386710837719e-01,2.545234082558025523e-01,2.508928994844487614e-01,2.411706994101359969e-01,2.291970679294622615e-01
1.940679820961511148e-01,2.107876552242749502e-01,1.825087562411505937e-01,1.901105779979019306e-01,1.653471502415164718e-01
2.011633436985549583e-01,2.217287485597344565e-01,2.272999952577417215e-01,2.233491860252423689e-01,2.047983524039861947e-01
1.673000968775616437e-01,1.739177489177489155e-01,1.723626946866383125e-01,1.772035241753551760e-01,2.007581099130394675e-01
1.864542812430136365e-01,1.978919984553787204e-01,1.906282137268052734e-01,1.676446558136698850e-01,1.902414486921528980e-01
